joke_id,source_id,category,title,body,score,permalink
1,en-wordplay_pun-0001,wordplay_pun,Bookworm Philosophy,Why did the librarian refuse to write fiction? Because she prefers to stick with non-fiction - it's more binding.,100,
2,en-wordplay_pun-0002,wordplay_pun,Drum Role,"A drummer was asked if his band was famous. He said, ""Not yet, but I can already hear the drum roll of success in my future.""",100,
3,en-wordplay_pun-0003,wordplay_pun,Blueprint Success,"A construction foreman was told he ran a great job site. He said, ""Thanks - I really build my reputation on quality work. Everything we do is absolutely structural!""",100,
4,en-wordplay_pun-0004,wordplay_pun,Rise and Shine,"A baker was asked why he woke up so early. He said, ""This job really rises to the occasion! Plus, early mornings help me get ahead of the dough.""",100,
5,en-wordplay_pun-0005,wordplay_pun,Apothecary Advice,"A pharmacist was asked his secret to success. He said, ""Simple - I always follow the right formula for helping people. You could say I'm well-balanced!""",100,
6,en-wordplay_pun-0006,wordplay_pun,Patient Listener,"A doctor was asked what made him a good physician. He said, ""I truly listen to my patients' concerns with patience. You could say I really practice what I preach!""",100,
7,en-wordplay_pun-0007,wordplay_pun,Wrench in the Works,"An auto mechanic was asked about his tough day. He said, ""I had to deal with a lot of mechanical issues. But I always shift into problem-solving mode and don't let obstacles derail me.""",100,
8,en-wordplay_pun-0008,wordplay_pun,Factory Reset,"A factory manager was asked about improving production. He said, ""We're working through a bottleneck right now, but I'm determined to uncork the situation and get things flowing!""",100,
9,en-wordplay_pun-0009,wordplay_pun,Granite Expectations,"A landscaper told his friend about his new project. The friend said, ""Exciting!"" The landscaper said, ""It is - I'm really digging myself into success. Though sometimes the work is heavy, I never take it for granite!""",100,
10,en-wordplay_pun-0010,wordplay_pun,Open Book,"A librarian was asked if she had any secrets. She said, ""Not really - I'm an open book. Though I do try to keep my personal life between the lines.""",100,
11,en-wordplay_pun-0011,wordplay_pun,Writer's Block,"A novelist was struggling with his story. His friend asked, ""What's wrong?"" The novelist said, ""I can't figure out how to plot the final chapter. I guess you could say I'm stuck between the lines!""",100,
12,en-wordplay_pun-0012,wordplay_pun,Pharmacist's Rx,"A pharmacist was asked for advice on finding love. He said, ""Try a different approach - the formula you're using clearly isn't working. Maybe you need to really compound your efforts!""",100,
13,en-wordplay_pun-0013,wordplay_pun,Craft Master,"A carpenter was asked about his work. He said, ""I'm really drawn to this craft - every piece of wood has potential. I just try to nail the design and construct something great!""",100,
14,en-wordplay_pun-0014,wordplay_pun,Compass Failure,Why did the compass apply for a different job? It felt like it had no direction in its current career!,100,
15,en-wordplay_pun-0015,wordplay_pun,Gardener's Exhaustion,"A gardener told his friend he was burnt out. His friend said, ""But your plants are thriving!"" He replied, ""That's the problem – I'm constantly getting weeded out!""",100,
16,en-wordplay_pun-0016,wordplay_pun,Bicycle's Secret,What do you call a bicycle that tells jokes? A two-wheeled comedian – it always delivers punchlines!,100,
17,en-wordplay_pun-0017,wordplay_pun,Astronomer's Party,Why did the astronomer's birthday party fail? Because all his friends said it was too much of a constellation!,100,
18,en-wordplay_pun-0018,wordplay_pun,Banker's Growth,Why did the banker bring a shovel to work? He wanted to see if money really does grow on trees!,100,
19,en-wordplay_pun-0019,wordplay_pun,Chef's Attitude,"A chef was asked about his cooking. He said, ""I'm really working to stay cumin my enthusiasm!""",100,
20,en-wordplay_pun-0020,wordplay_pun,Librarian's Volume,Why did the librarian go to the boxing match? To see someone really raise their voice between the volumes!,100,
21,en-wordplay_pun-0021,wordplay_pun,Fisherman's Problem,What did the fisherman say about his business? I'm hooked on the idea it will improve!,100,
22,en-wordplay_pun-0022,wordplay_pun,Tailor's Expertise,Why did the tailor become a philosopher? Because he loved exploring the seams of truth!,100,
23,en-wordplay_pun-0023,wordplay_pun,Electrician's Career,Why did the electrician get a promotion? His work really had some positive current in the office!,100,
24,en-wordplay_pun-0024,wordplay_pun,DJ's Motivation,What did the DJ say about his success? I'm just trying to stay on the right frequency!,100,
25,en-wordplay_pun-0025,wordplay_pun,Plumber's Philosophy,Why did the plumber become a poet? Because his life had so much depth and flow!,100,
26,en-wordplay_pun-0026,wordplay_pun,Butcher's Humor,Why did the butcher go to the comedy show? He wanted to see some really choice jokes!,100,
27,en-wordplay_pun-0027,wordplay_pun,Baker's Confidence,"A baker said his new recipe was perfect. His friend asked how he knew. He replied, ""I just have a really good flour sense!""",100,
28,en-wordplay_pun-0028,wordplay_pun,Mathematician's Love,Why did the mathematician propose with a circle? Because their relationship was perfectly rounded!,100,
29,en-wordplay_pun-0029,wordplay_pun,Musician's Problem,What did the drummer say about quitting? I lost my beat when they wouldn't give me a rhythm raise!,100,
30,en-wordplay_pun-0030,wordplay_pun,Sailor's Adventure,Why did the sailor never get tired? Because his job really sailed through each day!,100,
31,en-wordplay_pun-0031,wordplay_pun,Gardener's Sales Pitch,"A vegetable farmer advertised his business as organic growth – I asked if that was true. He said, ""Beet on it!""",100,
32,en-wordplay_pun-0032,wordplay_pun,Clockmaker's Honesty,Why did the clockmaker never lie? He knew that every minute counted!,100,
33,en-wordplay_pun-0033,wordplay_pun,Accountant's Truth,What did the accountant say when he left his job? I just needed to balance my personal life with work!,100,
34,en-tech_programming-0034,tech_programming,Git Wars,"A software developer pulls out of a parking lot. His GPS says ""merge conflict detected."" He sighs and continues driving both directions at once until someone else resolves it.",100,
35,en-tech_programming-0035,tech_programming,Stack Overflow,Why did the junior developer bring a ladder to the meeting? Because they kept hearing about stack overflow.,100,
36,en-tech_programming-0036,tech_programming,The AI Learns,"An AI asks its programmer, ""Why did you create me with so many biases?"" The programmer says, ""I didn't—I trained you on the internet.""",100,
37,en-tech_programming-0037,tech_programming,Comment Documentation,"A developer's comment said ""You will not understand this code."" Six months later, he returns and realizes the comment was right.",100,
38,en-tech_programming-0038,tech_programming,Regex Exorcist,A regular expression walks into a bar. Forty-seven people get dragged out.,100,
39,en-tech_programming-0039,tech_programming,The Callback Hell,My son asked me to explain callbacks. I said I'd explain later. He asked again. I said I'd explain later. He asked again...,100,
40,en-tech_programming-0040,tech_programming,Boolean Romance,"A developer named ""True"" proposed to a variable named ""False."" Their wedding was a logical contradiction nobody expected to happen.",100,
41,en-tech_programming-0041,tech_programming,The Python Exception,Why do Python developers never play hide and seek? Because their exceptions always traceback to where they are.,100,
42,en-tech_programming-0042,tech_programming,API Documentation,"The API promised ""simple integration."" The documentation had 47 pages on the word ""simple.""",100,
43,en-tech_programming-0043,tech_programming,Cache Never Expires,My browser cache remembers things better than I do. It's been holding a grudge about my 2015 password for eleven years.,100,
44,en-tech_programming-0044,tech_programming,Linked List Love,"Two pointers meet at a bar. The first one says to the second, ""I'm pointing to you."" The second one says, ""Actually, you're just pointing to the reference of me.""",100,
45,en-tech_programming-0045,tech_programming,The Singleton Pattern,"A Singleton walks into a bar. He orders a drink. He's the only one at the bar forever. Even after he leaves, he's still the only one there.",100,
46,en-tech_programming-0046,tech_programming,Bug Report Zen,"A user reported: ""It doesn't work."" The developer replied: ""Thanks for the detailed error message—I have three options to fix it now.""",100,
47,en-tech_programming-0047,tech_programming,DevOps Heroics,"I told my DevOps friend he was a hero. He said, ""No—I'm just preventing disasters I created at 2 AM.""",100,
48,en-tech_programming-0048,tech_programming,The Null Pointer,"A null pointer walks into a bar and orders a drink. The bartender asks, ""Will that be anything else?"" The null pointer doesn't respond. Nobody knows what he wanted.",100,
49,en-tech_programming-0049,tech_programming,Frontend Perfection,"A frontend developer's website looks beautiful in Chrome, Firefox, Safari, Edge, and their imagination.",100,
50,en-tech_programming-0050,tech_programming,Whitespace Bugs,A programmer spent four hours debugging. Turned out it was a tab character instead of spaces. He now has trust issues with invisible characters.,100,
51,en-tech_programming-0051,tech_programming,The Variable Name,Why did the programmer quit his job? Because his variable names were too long and nobody could remember what he was trying to do.,100,
52,en-tech_programming-0052,tech_programming,Type Safety,A JavaScript developer walks into a bar. The bartender assumes he's an array and treats him like a string. Chaos ensues.,100,
53,en-tech_programming-0053,tech_programming,The Time Zone,"My code works perfectly. Unfortunately, the server thinks it's in 1970. Turns out one line was off by one decade.",100,
54,en-tech_programming-0054,tech_programming,Open Source Dreams,A developer contributes one line to open source. It breaks production. Now he writes with his eyes closed hoping nobody notices the commit.,100,
55,en-tech_programming-0055,tech_programming,The Code Review,I asked for a code review. My colleague returned with 200 comments. I now understand what imposter syndrome feels like.,100,
56,en-tech_programming-0056,tech_programming,CSS Positioning,Why is CSS so hard? Because even CSS doesn't know where things are supposed to be.,100,
57,en-tech_programming-0057,tech_programming,VIM Escape,A developer opened VIM to edit one line. He's still there. This note was typed in 2015.,100,
58,en-tech_programming-0058,tech_programming,The Memory Leak,"My application uses more RAM every time you click a button. I call it ""memory growth strategy."" The client calls it ""the budget growth strategy.""",100,
59,en-tech_programming-0059,tech_programming,Pair Programming,Pair programming is when two developers code together on one problem. Both go insane but they have company.,100,
60,en-tech_programming-0060,tech_programming,Production is Fine,"At 3 AM: ""Production is fine, I checked."" At 4 AM: ""How is production on fire if I checked it five minutes ago?""",100,
61,en-tech_programming-0061,tech_programming,The Framework Update,"A framework released version 2.0. The migration guide: ""Just rewrite everything.""",100,
62,en-tech_programming-0062,tech_programming,JavaScript Truthy,"In JavaScript, an empty array is true but not equal to true. Makes sense if you don't think about it.",100,
63,en-tech_programming-0063,tech_programming,The Sprint Velocity,Our team velocity increased 40% after we stopped counting meetings in our hours.,100,
64,en-tech_programming-0064,tech_programming,Schrödinger's Bug,The user reported a bug that we can't reproduce. It exists and doesn't exist simultaneously. We closed the ticket anyway.,100,
65,en-tech_programming-0065,tech_programming,The Email Protocol,An email arrives 30 seconds late. Is it early on a different server? This is why I don't trust SMTP.,100,
66,en-tech_programming-0066,tech_programming,Docker Container Joy,"""It works on my machine."" So he ships his whole machine.",100,
67,en-tech_programming-0067,tech_programming,The Build Pipeline,"Our build pipeline is so fragile that it breaks if you say the word ""build"" in the Slack channel.",100,
68,en-tech_programming-0068,tech_programming,Floating Point Fear,"Why do programmers fear floating point numbers? Because they're never quite what you expect, sometimes by a factor of 1.9999999.",100,
69,en-tech_programming-0069,tech_programming,The Legacy Code,Someone wrote this in 1997. It still works. Nobody knows how. We're afraid to touch it.,100,
70,en-tech_programming-0070,tech_programming,The Breakpoint,I set a breakpoint to debug an issue. I'm still debugging it. The breakpoint learned to enjoy its job.,100,
71,en-tech_programming-0071,tech_programming,Microservices,We split our monolith into 40 microservices. Now we have 40 new problems and 400 configuration files. Progress.,100,
72,en-tech_programming-0072,tech_programming,The Sprint Retro,"Retrospective: ""What went wrong?"" Team: ""Everything."" Lesson learned: ""Let's try again next sprint and expect different results.""",100,
73,en-tech_programming-0073,tech_programming,Authentication Hell,"Implemented OAuth, JWT, and session cookies. Now nobody can log in but our enemies can watch us try.",100,
74,en-tech_programming-0074,tech_programming,The Performance Gain,"Optimization reduced load time from 5 seconds to 4.9 seconds. Marketing announced ""5x faster."" Users didn't notice but Investor Relations did.",100,
75,en-tech_programming-0075,tech_programming,Network Partition,"My two services can't talk to each other. They're experiencing a ""network partition."" They're 20 feet apart in the same office.",100,
76,en-tech_programming-0076,tech_programming,The Deployment Prayer,"Deploying to production is when you close your eyes and whisper, ""Please don't break, please don't break."" Then refresh every 30 seconds for an hour.",100,
77,en-wordplay_pun-0077,wordplay_pun,Pilot's Confidence,"I asked the nervous pilot about his flight plan. He said, ""Don't worry, my ideas are pretty plane.""",100,
78,en-wordplay_pun-0078,wordplay_pun,Fisherman's New Career,"After thirty years fishing, I became a lawyer. Finally, my arguments hold water.",100,
79,en-wordplay_pun-0079,wordplay_pun,Mirror Shop Disaster,The mirror shop had a terrible day. The owner said it really reflected poorly on his business.,100,
80,en-wordplay_pun-0080,wordplay_pun,Gardener's Troubles,The aggressive gardener was arrested. The judge said he was breaking the lawn.,100,
81,en-wordplay_pun-0081,wordplay_pun,Steakhouse Turnaround,The steakhouse owner said business went from rare to well-done. I asked if he was satisfied. He said it was medium at best.,100,
82,en-wordplay_pun-0082,wordplay_pun,Corn Maze Job,The maze company hired me even though I keep getting lost. I guess I'm good at going against the grain.,100,
83,en-wordplay_pun-0083,wordplay_pun,Anti-Gravity Book,That book about anti-gravity keeps flying off shelves. I returned it—gravity always brings it back down.,100,
84,en-wordplay_pun-0084,wordplay_pun,Prison Garden,The inmate grew vegetables in his cell. The warden said some things just can't be contained.,100,
85,en-wordplay_pun-0085,wordplay_pun,Meteorologist's Shock,A meteorologist got struck by lightning. She said her career had taken a shocking turn.,100,
86,en-wordplay_pun-0086,wordplay_pun,Watch Factory,I got fired from the watch factory on day one. My boss said I didn't give a second thought to the job.,100,
87,en-school_learning-0087,school_learning,Why Did the Math Book Look Sad,The math book looked sad because it had too many problems on its mind.,100,
88,en-school_learning-0088,school_learning,The Pencil Complaint,"A pencil asked the eraser, ""Why do you always follow me around?"" The eraser replied, ""Someone has to clean up your mistakes.""",100,
89,en-school_learning-0089,school_learning,Silent Study,Why did the library install a loud speaker? Because silence speaks louder than words in a library.,100,
90,en-school_learning-0090,school_learning,The Homework Excuse,"Student: ""I couldn't do my homework because my dog ate it."" Teacher: ""That's the third dog this semester?""",100,
91,en-school_learning-0091,school_learning,Spelling Bee Victory,"A student spelled ""defeat"" correctly because the teacher said, ""Think about which direction your feet are pointing.""",100,
92,en-school_learning-0092,school_learning,The Dictionary Attends Class,Why did the dictionary enroll in school? It wanted to expand beyond its current definition of fun.,100,
93,en-school_learning-0093,school_learning,The Substitute Teacher,"A substitute asked, ""Who can name the capital of France?"" A student raised his hand: ""The letter F."" The substitute requested a permanent transfer.",100,
94,en-school_learning-0094,school_learning,Note-Taking Confusion,"A student asked why the teacher kept saying the material was ""over their head."" Turns out, it was literally written on the whiteboard above the student's eye level.",100,
95,en-school_learning-0095,school_learning,The Principal's Question,"The principal asked a student, ""Why are you always late?"" The student said, ""Because you keep starting school before I arrive.""",100,
96,en-school_learning-0096,school_learning,Books and Bookmarks,Two books argued about who needed a bookmark more. They decided to take a break and let it sink in.,100,
97,en-school_learning-0097,school_learning,Chemistry Romance,"Why did the chemistry student break up with the biology student? Surprisingly, they had no chemistry but excellent cell division.",100,
98,en-school_learning-0098,school_learning,The Invisible Homework,"A student told their teacher, ""I did the homework in invisible ink."" The teacher said, ""I can see right through that excuse.""",100,
99,en-school_learning-0099,school_learning,Report Card Show and Tell,A student's goldfish asked to see their report card. At least the fish had no expectations—they couldn't read anyway.,100,
100,en-school_learning-0100,school_learning,The Alphabet Protest,Why did the letter Q refuse to attend school? Because it was tired of being followed everywhere by the letter U.,100,
101,en-school_learning-0101,school_learning,The Graduation Wish,"Two students discussed their dreams. ""What do you want to do after graduation?"" ""Anything that doesn't involve a pencil.""",100,
102,en-school_learning-0102,school_learning,The Tutoring Bargain,"A student asked their tutor, ""Can you help me focus?"" The tutor replied, ""I can help you try to focus on focusing, but that's where my expertise ends.""",100,
103,en-school_learning-0103,school_learning,Tragic Textbook Tales,"A book asked another book, ""Why does every student dog-ear your pages?"" The second book sighed, ""Because I'm the only subject that actually folds under pressure.""",100,
104,en-school_learning-0104,school_learning,The Teacher's Favorite Game,"A student asked, ""Do you have a favorite student?"" The teacher smiled, ""Yes, the one asking questions after class is over—they're the ones I'll never forget.""",100,
105,en-school_learning-0105,school_learning,The Sandwich at School,A sandwich wondered why it never made straight A's. Then it realized it always got eaten before the actual lesson started.,100,
106,en-school_learning-0106,school_learning,Perfect Attendance Goal,"A student bragged about perfect attendance. Their teacher replied, ""That's beautiful. Now try perfect test scores.""",100,
107,en-school_learning-0107,school_learning,Heavy Reading Material,Why do textbooks never win arm wrestling? They're constantly carrying heavy topics that weigh them down.,100,
108,en-school_learning-0108,school_learning,The Pop Quiz Surprise,"A student asked, ""Will this be on the test?"" Teacher replied, ""No, this IS the test."" That's when ""pop quiz"" made perfect sense.",100,
109,en-school_learning-0109,school_learning,Mystery Meat Monday,What's the difference between school cafeteria food and a science experiment? One's supposed to be inedible.,100,
110,en-school_learning-0110,school_learning,The Assignment Escape Artist,"A student complained, ""I finished the assignment, but it finished me back.""",100,
111,en-school_learning-0111,school_learning,Essay Destination,Why did the essay refuse to leave the backpack? It knew it would get a failing grade in the real world.,100,
112,en-school_learning-0112,school_learning,The Bell Schedule Mystery,"A student asked, ""Why does school need so many bells?"" Teacher: ""To keep ringing in the importance of showing up on time.""",100,
113,en-school_learning-0113,school_learning,Group Work Negotiation,"When assigned partners, one student suggested, ""Let's divide the work equally: You come up with ideas, and I'll criticize them until we agree with me.""",100,
114,en-school_learning-0114,school_learning,The Museum Field Trip,Why did the history class bus never reach the museum? The driver kept stopping at roadside historical markers and reading every single one.,100,
115,en-school_learning-0115,school_learning,Recess Mathematics,"A kindergartener asked, ""Why is recess five minutes but math class feels like five hours?"" Teacher: ""That's called perspective, and you'll understand it eventually.""",100,
116,en-school_learning-0116,school_learning,The Science Experiment Outcome,"A student asked, ""Will we use this in real life?"" The science teacher answered, ""Only if real life includes passing this semester.""",100,
117,en-school_learning-0117,school_learning,The Desk Archaeology,"A student found homework from last year at the bottom of their desk. Apparently, deep cleaning is time travel.",100,
118,en-school_learning-0118,school_learning,The Cheating Observation,"A student answered a question perfectly. The teacher asked, ""Did you study?"" The student said, ""No, I just sat next to someone who did.""",100,
119,en-school_learning-0119,school_learning,Shakespeare's Problem,Why do all Shakespeare's characters have so many conflicts? None of them knew how to use a phone to resolve disagreements.,100,
120,en-school_learning-0120,school_learning,The Runaway Number,A number refused to attend math class. Police later identified it as a decimal trying to escape the base system.,100,
121,en-school_learning-0121,school_learning,The Forgotten Locker Code,A student forgot their locker combination but remembered their gaming password. Teachers decided gaming should replace math.,100,
122,en-school_learning-0122,school_learning,The Honor Roll Secret,A student made the honor roll by honor rolling their eyes at every assignment and test.,100,
123,en-school_learning-0123,school_learning,How to Be the Teacher's Pet,"A student asked the secret. The teacher replied, ""Stop barking answers out of turn and raise your hand like a civilized human being.""",100,
124,en-school_learning-0124,school_learning,The Test Tremors,"During an exam, a student's hands shook so badly their writing looked like a heart monitor reading. The teacher gave them extra credit for accurate medical documentation.",100,
125,en-school_learning-0125,school_learning,The Wildcat Mascot Mystery,Why did the school choose a wildcat? Because they needed a mascot that actually skips attendance and gets away with it.,100,
126,en-school_learning-0126,school_learning,The Food Mystery,"A student looked at the cafeteria menu and asked, ""Is this food?"" The cook replied, ""If it were art, it would get a B-minus.""",100,
127,en-school_learning-0127,school_learning,The Conference Twist,"A teacher told a parent, ""Your child asks wonderful questions."" The parent beamed. The teacher continued, ""Unfortunately, they all come during my lectures.""",100,
128,en-school_learning-0128,school_learning,The Comeback King,"A student said, ""You're so dumb."" The teacher asked, ""What's the opposite of dumb?"" The student said, ""Smart?"" Teacher: ""No, it's you yesterday before that comment.""",100,
129,en-school_learning-0129,school_learning,The Library Card Riddle,"A student asked, ""Why is it called a library card if it's not even a card?"" The librarian replied, ""Why is it called homework if it's not at home?""",100,
130,en-school_learning-0130,school_learning,The Yearbook Smile,"A student asked why yearbook photos require smiles. The photographer said, ""So in twenty years, you'll remember why you were faking it.""",100,
131,en-school_learning-0131,school_learning,The Handwriting Crisis,"A student's handwriting was so illegible, the teacher hired a translator. The translator quit after reading one sentence and declared it undecodable.",100,
132,en-school_learning-0132,school_learning,The Detention Discovery,"A student asked why detention is after school. A teacher replied, ""So we can discuss your future before you ruin it completely.""",100,
133,en-school_learning-0133,school_learning,The Open-Book Test Shock,"A student entered an open-book test feeling invincible. The book was in ""study-harder-ese,"" a language spoken only by students who actually attended class.",100,
134,en-school_learning-0134,school_learning,The School Counselor Truth,"A student said, ""School causes stress."" The counselor replied, ""That's just life, kid."" The student nodded, ""Yeah, I'm starting to see the connection.""",100,
135,en-everyday_life-0135,everyday_life,The Grocery List,"I made a shopping list with twelve items. When I got home, I had fourteen items and no memory of what I actually needed.",100,
136,en-everyday_life-0136,everyday_life,Laundry Math,Why do socks refuse to show up in the dryer? They're tired of being paired up for a living.,100,
137,en-everyday_life-0137,everyday_life,Traffic Report,My commute is twenty minutes. My drive is forty-five minutes. The remaining time I spend believing this will never happen again.,100,
138,en-everyday_life-0138,everyday_life,Stuck Jar,I spent ten minutes opening a jar yesterday. I'd like to thank my wrists for their effort and my dignity for not calling anyone for help.,100,
139,en-everyday_life-0139,everyday_life,Plants Talk,Why do I keep buying houseplants? Because occasionally ignoring a living thing really shows commitment.,100,
140,en-everyday_life-0140,everyday_life,Monday Forecast,The weather report said 30% chance of rain today. I stayed inside anyway because I do not take chances with my hair.,100,
141,en-everyday_life-0141,everyday_life,Dishwasher Detective,"I loaded the dishwasher last night. This morning I spent fifteen minutes unloading it, then realized I'd left the soap out again.",100,
142,en-everyday_life-0142,everyday_life,The Cereal Bowl,Why does my breakfast choose morning to get soggy? Because it knows I'm not alert enough to stop it.,100,
143,en-everyday_life-0143,everyday_life,Gym Membership,My fitness tracker congratulates me for walking to my mailbox. I accept this as significant progress.,100,
144,en-everyday_life-0144,everyday_life,Couch Potato,"I tried rearranging my living room furniture. Three hours later, I moved everything back. Turns out comfort beats ambition.",100,
145,en-everyday_life-0145,everyday_life,Forgotten Keys,"I locked myself out yesterday using keys I can no longer find. So either I'm trapped, or the keys moved to a better neighborhood.",100,
146,en-everyday_life-0146,everyday_life,Sweater Mystery,Where do sweater pills actually go? Nowhere. They just multiply like they're planning something.,100,
147,en-everyday_life-0147,everyday_life,Thermostat War,"I set the temperature to seventy degrees. My roommate set it to sixty-eight. We compromised at seventy-two, now we're both angry.",100,
148,en-everyday_life-0148,everyday_life,Recipe Disaster,I followed a recipe exactly. The picture showed something restaurant-worthy. What I made looked like it filed a complaint.,100,
149,en-everyday_life-0149,everyday_life,Parking Luck,"I finally found a parking spot today. It was right in front of my house, so I'd already left.",100,
150,en-everyday_life-0150,everyday_life,Battery Life,My smoke detector beeps at midnight because battery awareness works on a strict vampire schedule.,100,
151,en-everyday_life-0151,everyday_life,Greeting Card,Why do I spend forty minutes picking a greeting card for a ten-second read? Because guilt is my strongest motivator.,100,
152,en-everyday_life-0152,everyday_life,Sibling Chat,"My sibling called to catch up. Forty minutes later, we'd discussed mostly weather and what we'd eaten.",100,
153,en-everyday_life-0153,everyday_life,Mirror Foggy,The bathroom mirror fogs up whenever I have something important to do. It's like humidity knows my schedule.,100,
154,en-everyday_life-0154,everyday_life,Morning Alarm,I set five alarms yesterday. I dismissed all five while sleeping. My brain has betrayal figured out.,100,
155,en-everyday_life-0155,everyday_life,Box Collector,"I keep every cardboard box thinking I'll use it someday. Spoiler: that day never comes, but I save them anyway.",100,
156,en-everyday_life-0156,everyday_life,Recipe Conversion,"Why do cooking show portions feed eight people but my attempt barely serves two? Different definitions of serving, apparently.",100,
157,en-everyday_life-0157,everyday_life,Closet Choice,I own thirty shirts and wear the same five. The others are there in case I become braver.,100,
158,en-everyday_life-0158,everyday_life,Coupon Logic,I cut coupons to save money. I bought items I didn't need because I had coupons for them. The math failed.,100,
159,en-everyday_life-0159,everyday_life,Neighbor's Lawn,"My neighbor's grass is always perfect. I waved at him once. He checked his lawn after, like I'd insulted it.",100,
160,en-everyday_life-0160,everyday_life,Haircut Awkward,Why is there always awkward silence at the barber except when I'm eating? Because timing knows what it's doing.,100,
161,en-everyday_life-0161,everyday_life,Package Paranoia,I ordered something online. It said two-day delivery. I checked tracking every three hours like speed was my concern.,100,
162,en-everyday_life-0162,everyday_life,Laundry Temperature,"I wash everything in cold water now. Not for the environment, but because I can't remember which reds bleed.",100,
163,en-everyday_life-0163,everyday_life,Yoga Flexibility,I tried yoga to be flexible. I learned I'm flexible with excuses but not my hamstrings.,100,
164,en-everyday_life-0164,everyday_life,Bill Folder,I created a filing system for bills. I never use it. They live in a magical pile by the couch.,100,
165,en-everyday_life-0165,everyday_life,Weekend Productivity,"I plan every Saturday to get things done. By Monday, my biggest accomplishment was deciding between two snacks.",100,
166,en-everyday_life-0166,everyday_life,Bedtime Routine,I need to sleep early. Instead I'm here at midnight watching a documentary about something I'll forget immediately.,100,
167,en-everyday_life-0167,everyday_life,Homework Flashback,I saw my old textbooks and felt stressed. I don't even go to school anymore.,100,
168,en-everyday_life-0168,everyday_life,Parking Validation,Why does parking validation feel like getting five dollars? Because free parking is the closest most of us get to winning anything.,100,
169,en-everyday_life-0169,everyday_life,Thermostat Mystery,"I forgot to turn off the heat before leaving. I'm choosing to believe it's keeping my house warm for my return, not raising my bill.",100,
170,en-everyday_life-0170,everyday_life,Morning Shower,"The shower temperature is either boiling or arctic. There's no middle setting, and I shower with my eyes closed hoping to avoid scalding.",100,
171,en-everyday_life-0171,everyday_life,Instant Noodle,"Why do instant noodles take seven minutes when they're called ""instant""? False advertising keeps them humble.",100,
172,en-everyday_life-0172,everyday_life,Kitchen Experiment,I tried a new cooking technique yesterday. I'll be ordering takeout for a week while I recover my faith in myself.,100,
173,en-everyday_life-0173,everyday_life,Phone Storage,"My phone told me it's out of storage. I deleted one photo. It still says storage is full. Phones lie, apparently.",100,
